"question","answer"
"Who said Friday, ``Chris Scott Gilliam wanted to kill everybody''?","null"
"Who testified at a federal court hearing?","null"
"When did David Pasqualotto say, ``Chris Scott Gilliam wanted to kill everybody''?","null"
"Who did Chris Scott Gilliam say did not want to be like the Unabomber?","null"
"What did a federal agent testify at?","null"
"Who said Friday, ``He wanted to kill everybody''?","null"
"What did a federal magistrate order him held pending the results of?","null"
"Where did authorities say-- A white supremacist arrested after buying hand grenades from an undercover agent said he wanted to send mail bombs?","null"
"Who said, ``I knew he was not quite right''?","null"
"What did Pasqualotto testify started three weeks earlier when Gilliam contacted a man about obtaining C4 high explosive?","null"
"Who was 27?","Dees"
"What were no charges immediately filed in?","null"
"Who did Pasqualotto testify that Gilliam met with Thursday?","null"
"What did Defense attorney Gary Arm say at that Gilliam legally owned the firearm and has no criminal record?","null"
"Who did authorities say-- A white supremacist arrested after buying hand grenades from an undercover agent said wanted to send mail bombs to Washington and Montgomery?","null"
"Who did Pasqualotto testify with?","null"
"Who was David Pasqualotto?","null"
"What did an ATF representative not immediately return calls for Saturday?","null"
"When did Pasqualotto testify that Gilliam met with him?","null"
"Who testified that Gilliam met with him Thursday?","null"
"When did David Pasqualotto say, ``He wanted to kill everybody''?","null"
"Who arrived with a loaded, cocked. 45- caliber pistol on David Pasqualotto's hip and his 20-month-old son in his arms?","null"
"Who did a federal magistrate order held pending the results of a psychological evaluation?","null"
"What did Pasqualotto say, ``I knew''?","null"
"Who was charged with possessing an unregistered firearm found at his home in Foley along with what agents said was apparently a silencer?","null"
"What did authorities say-- A white supremacist arrested after buying hand grenades from an undercover agent said to?","null"
"What did a federal magistrate order him held pending?","null"
"Who did Chris Scott Gilliam say like?","null"
"What did Defense attorney Gary Arm say at the hearing?","null"
"Where did authorities say-- A white supremacist arrested after buying hand grenades from an undercover agent said?","null"
"What did authorities say-- A white supremacist arrested after buying hand grenades from an undercover agent said he wanted to send mail bombs to?","null"
"Who said at the hearing that Gilliam legally owned the firearm and has no criminal record?","null"
"Who testified the investigation started three weeks earlier when Gilliam contacted a man about obtaining C4 high explosive?","null"
"What was Gilliam?","null"
"Who did Chris Scott Gilliam say he did not want to be like?","null"
"Who arrived with a loaded, cocked. 45- caliber pistol on his hip and his 20-month-old son in his arms?","null"
"Who did not immediately return calls for comment Saturday?","null"
"Who was a special agent with the Bureau of Alcohol, Tobacco and Firearms?","null"
"What did Gilliam arrive with?","null"
"Who ordered him held pending the results of a psychological evaluation?","null"
"Who said-- A white supremacist arrested after buying hand grenades from an undercover agent said he wanted to send mail bombs to Washington and Montgomery?","null"
"Who did authorities say-- said he wanted to send mail bombs to Washington and Montgomery?","null"
"What were immediately filed in connection with the grenade purchase?","null"
"What did authorities say-- A white supremacist arrested after buying hand grenades from an undercover agent said he wanted to send to Washington and Montgomery?","null"
"What was Mark Potok?","null"
"What does the resolution say?''","null"
"What is this about?","Dees is not Jewish. "
"Who did the Southern Poverty Law Center represent after the church was burned four years ago?","null"
"When has the Ku Klux Klan been since the group marched in Charleston?","null"
"What is about race relations?","null"
